,link_category
0,https://tiki.vn/do-choi-me-be/c2549
1,https://tiki.vn/tikingon/ngon/c44792
2,https://tiki.vn/dien-thoai-may-tinh-bang/c1789
3,https://tiki.vn/lam-dep-suc-khoe/c1520
4,https://tiki.vn/dien-gia-dung/c1882
5,https://tiki.vn/thoi-trang-nu/c931
6,https://tiki.vn/thoi-trang-nam/c915
7,https://tiki.vn/giay-dep-nu/c1703
8,https://tiki.vn/tui-vi-nu/c976
9,https://tiki.vn/giay-dep-nam/c1686
10,https://tiki.vn/tui-thoi-trang-nam/c27616
11,https://tiki.vn/balo-va-vali/c6000
12,https://tiki.vn/phu-kien-thoi-trang/c27498
13,https://tiki.vn/dong-ho-va-trang-suc/c8371
14,https://tiki.vn/laptop-may-vi-tinh-linh-kien/c1846
15,https://tiki.vn/nha-cua-doi-song/c1883
16,https://tiki.vn/cross-border-hang-quoc-te/c17166
17,https://tiki.vn/bach-hoa-online/c4384
18,https://tiki.vn/thiet-bi-kts-phu-kien-so/c1815
19,https://tiki.vn/voucher-dich-vu/c11312
20,https://tiki.vn/o-to-xe-may-xe-dap/c8594
21,https://tiki.vn/nha-sach-tiki/c8322
22,https://tiki.vn/dien-tu-dien-lanh/c4221
23,https://tiki.vn/the-thao-da-ngoai/c1975
24,https://tiki.vn/may-anh/c1801
25,https://tiki.vn/san-pham-tai-chinh-bao-hiem/c54042
